"","Year Month","Hour","Victimisations","Territorial Authority","Area Unit","Crimes type","ANZSOC Division","ANZSOC Group"
"186","1/02/15",99,1,"Christchurch City.","Cathedral Square.","property crimes","Theft and Related Offences","Illegal Use of a Motor Vehicle"
"187","1/02/15",23,1,"Timaru District.","Temuka.","property crimes","Theft and Related Offences","Illegal Use of a Motor Vehicle"
"188","1/02/15",15,1,"Selwyn District.","Malvern.","property crimes","Theft and Related Offences","Theft of Motor Vehicle Parts or Contents"
"189","1/02/15",11,1,"Christchurch City.","Hillmorton.","property crimes","Theft and Related Offences","Illegal Use of a Motor Vehicle"
"190","1/06/15",13,1,"Christchurch City.","Cathedral Square.","property crimes","Theft and Related Offences","Theft From Retail Premises"
"191","1/06/15",13,1,"Christchurch City.","Linwood East.","property crimes","Theft and Related Offences","Theft From Retail Premises"
"192","1/06/15",13,1,"Christchurch City.","Northcote.","property crimes","Theft and Related Offences","Theft From Retail Premises"
"193","1/06/15",13,1,"Waimakariri District.","Rangiora North.","property crimes","Theft and Related Offences","Theft From Retail Premises"
"194","1/02/15",22,1,"Christchurch City.","Spreydon.","property crimes","Theft and Related Offences","Illegal Use of a Motor Vehicle"
"195","1/02/15",99,1,"Ashburton District.","Ashburton Central East.","property crimes","Theft and Related Offences","Theft of Motor Vehicle Parts or Contents"
"196","1/02/15",10,1,"Christchurch City.","Hornby North.","property crimes","Theft and Related Offences","Illegal Use of a Motor Vehicle"
"197","1/02/15",14,1,"Christchurch City.","Fendalton.","property crimes","Theft and Related Offences","Illegal Use of a Motor Vehicle"
"198","1/02/15",16,1,"Christchurch City.","Hagley Park.","property crimes","Theft and Related Offences","Theft of Motor Vehicle Parts or Contents"
"199","1/02/15",12,1,"Christchurch City.","Belfast South.","property crimes","Theft and Related Offences","Illegal Use of a Motor Vehicle"
"200","1/02/15",8,1,"Christchurch City.","Cathedral Square.","property crimes","Theft and Related Offences","Theft of Motor Vehicle Parts or Contents"
"201","1/02/15",19,1,"Christchurch City.","Riccarton.","property crimes","Theft and Related Offences","Theft of Motor Vehicle Parts or Contents"
"202","1/02/15",19,1,"Christchurch City.","Lyttelton.","violent crimes","Acts Intended to Cause Injury","Common Assault"
"203","1/02/15",20,1,"Ashburton District.","Hampstead.","violent crimes","Acts Intended to Cause Injury","Common Assault"
"204","1/02/15",17,1,"Christchurch City.","Spreydon.","violent crimes","Acts Intended to Cause Injury","Serious Assault Resulting in Injury"
"205","1/02/15",0,1,"Christchurch City.","Wairarapa.","violent crimes","Acts Intended to Cause Injury","Common Assault"
"206","1/02/15",15,1,"Christchurch City.","Hornby South.","property crimes","Theft and Related Offences","Illegal Use of a Motor Vehicle"
"207","1/02/15",99,1,"Christchurch City.","Russley.","property crimes","Theft and Related Offences","Theft of Motor Vehicle Parts or Contents"
"208","1/02/15",99,1,"Christchurch City.","Ensors.","property crimes","Theft and Related Offences","Illegal Use of a Motor Vehicle"
"209","1/02/15",99,1,"Christchurch City.","Richmond South.","property crimes","Theft and Related Offences","Illegal Use of a Motor Vehicle"
"210","1/08/15",23,1,"Christchurch City.","Avon Loop.","violent crimes","Acts Intended to Cause Injury","Common Assault"
"211","1/08/15",8,1,"Selwyn District.","West Melton.","violent crimes","Acts Intended to Cause Injury","Common Assault"
"212","1/08/15",1,1,"Christchurch City.","Cathedral Square.","violent crimes","Acts Intended to Cause Injury","Common Assault"
"213","1/08/15",12,1,"Christchurch City.","Riccarton South.","violent crimes","Acts Intended to Cause Injury","Common Assault"
"214","1/03/15",2,1,"Christchurch City.","Upper Riccarton.","property crimes","Theft and Related Offences","Theft of Motor Vehicle Parts or Contents"
"215","1/03/15",21,1,"Christchurch City.","Yaldhurst.","property crimes","Theft and Related Offences","Theft of Motor Vehicle Parts or Contents"
"216","1/03/15",23,1,"Ashburton District.","Ashburton Central East.","property crimes","Theft and Related Offences","Theft of Motor Vehicle Parts or Contents"
"217","1/03/15",1,1,"Christchurch City.","Phillipstown.","property crimes","Theft and Related Offences","Illegal Use of a Motor Vehicle"
"218","1/02/15",11,1,"Christchurch City.","Sydenham.","property crimes","Theft and Related Offences","Illegal Use of a Motor Vehicle"
"219","1/02/15",14,1,"Christchurch City.","Harewood.","property crimes","Theft and Related Offences","Illegal Use of a Motor Vehicle"
