"","Date","Time","eventtype","longitude","latitude","magnitude","depth"
"139",2015-10-31," 20:21:43",NA,172.8811339,-41.89236915,2.789858,77.1875
"140",2015-10-31," 17:29:23","earthquake",173.1721121,-42.53013823,2.195675053,32.65625
"141",2015-10-31," 13:37:11",NA,172.8777402,-42.09425712,2.575680141,65.46875
"142",2015-10-31," 11:47:58","earthquake",173.0931854,-42.84189987,2.441064705,30.69434929
"143",2015-10-30," 14:42:29",NA,171.9871296,-43.21136438,2.33883832,10.390625
"144",2015-10-28," 07:25:10",NA,172.4244535,-43.57454087,2.299961585,9.921875
"145",2015-10-27," 15:28:59",NA,171.1218383,-43.79466595,1.532927972,5.234375
"146",2015-10-27," 14:56:45",NA,170.1303635,-44.08656263,2.749683918,6.40625
"147",2015-10-27," 10:48:36","earthquake",172.9160156,-42.45850754,2.51622673,38.92335129
"148",2015-10-27," 01:12:20",NA,171.9843387,-43.25971492,2.192594395,12.734375
"149",2015-10-26," 20:18:44","earthquake",172.7145538,-43.52425385,2.971675307,10.41431618
"150",2015-10-26," 04:10:03",NA,172.6963427,-43.51384427,1.780821405,10.390625
"151",2015-10-25," 20:07:59","earthquake",172.7672424,-42.29818726,2.953141743,5
"152",2015-10-25," 14:06:08",NA,171.9673308,-43.26590748,2.183439094,12.265625
"153",2015-10-25," 09:07:15","earthquake",172.4403534,-43.8374939,2.019368209,4.755646229
"154",2015-10-24," 09:36:53",NA,172.0569037,-43.15992732,2.11363922,9.921875
"155",2015-10-24," 08:50:54",NA,172.0972766,-43.43495561,2.216133501,8.984375
"156",2015-10-24," 01:34:39","earthquake",172.4954376,-43.22890091,3.1790647,20.27300453
"157",2015-10-23," 20:31:58","earthquake",170.1406268,-44.12696927,2.92963029,14.84375
"158",2015-10-23," 12:00:03","earthquake",173.2545471,-42.915905,2.509753053,27.57416725
"159",2015-10-22," 18:31:42",NA,172.5426048,-43.1847226,1.926374112,34.0625
"160",2015-10-21," 10:57:22",NA,172.7910504,-43.49985305,1.838146044,8.984375
"161",2015-10-21," 02:13:03","earthquake",171.6640898,-43.22881923,3.221739415,12.734375
"162",2015-10-20," 22:19:09","earthquake",171.3424188,-43.66729253,2.684813598,8.984375
"163",2015-10-20," 21:29:26",NA,172.065799,-43.12928854,2.054598516,12.96875
"164",2015-10-20," 19:43:25",NA,172.2629263,-43.56993489,2.590423169,9.921875
"165",2015-10-20," 11:21:05","earthquake",173.0315478,-42.39920352,2.734558225,55.15625
"166",2015-10-20," 09:22:15",NA,172.8461248,-43.43965926,2.187033613,10.390625
"167",2015-10-20," 05:54:00",NA,172.3277199,-42.80286226,1.820845596,12.03125
"168",2015-10-20," 03:17:20","earthquake",172.2659254,-43.55373983,3.627334415,11.4453125
"169",2015-10-20," 03:00:00","earthquake",172.2562846,-43.57141529,2.778724077,9.921875
"170",2015-10-19," 16:21:13",NA,171.7477738,-43.04081631,1.823089867,9.921875
"171",2015-10-19," 10:31:19",NA,171.8067171,-42.99658296,1.81661164,9.6875
"172",2015-10-19," 08:55:13",NA,172.80999,-43.46450212,2.258140595,13.90625
"173",2015-10-17," 00:06:43",NA,172.5306645,-43.60344783,2.342607105,10.15625
"174",2015-10-16," 13:50:58",NA,170.6489354,-44.03439088,2.618021263,14.84375
"175",2015-10-16," 11:00:48",NA,173.1634291,-43.40449264,2.453953557,10.15625
"176",2015-10-15," 19:20:47","earthquake",172.1472931,-43.56876755,2.132807884,4.315667152
"177",2015-10-15," 17:52:59","earthquake",172.3615265,-43.63901138,2.521731019,3.550472736
"178",2015-10-15," 05:14:56","earthquake",175.2006133,-42.90071928,2.384280519,54.6875
"179",2015-10-15," 05:09:44","earthquake",172.4435883,-43.57453156,2.156519627,2.573409319
"180",2015-10-14," 16:27:50","earthquake",172.1800094,-43.50244525,2.661594746,9.921875
"181",2015-10-14," 07:03:55",NA,173.052353,-42.3130105,2.40990177,17.65625
"182",2015-10-14," 05:29:58","earthquake",173.0881958,-42.14123154,3.259989971,33.4628334
"183",2015-10-13," 15:43:05",NA,172.3817555,-43.58167196,2.202541485,8.984375
"184",2015-10-12," 18:16:15",NA,172.0954956,-43.47832306,1.992325796,9.921875
"185",2015-10-11," 23:33:05","earthquake",172.920615,-42.42686195,2.889052963,13.203125
"186",2015-10-11," 16:21:00",NA,172.3894332,-43.59190909,2.266949773,10.390625
"187",2015-10-11," 10:25:39","earthquake",172.8321075,-43.39349747,2.791822359,4.202059746
"188",2015-10-11," 08:24:20",NA,172.0516948,-43.39023345,1.770275766,8.046875
"189",2015-10-11," 04:00:33",NA,172.7858903,-43.40288101,2.153724238,6.640625
"190",2015-10-11," 00:34:23","earthquake",173.0347748,-42.24237442,3.116772824,9.638228416
"191",2015-10-10," 05:09:09",NA,173.2045319,-42.33579752,1.683207861,50.9375
"192",2015-10-10," 03:59:49","earthquake",172.8352814,-43.45651627,1.95216914,5.209200382
"193",2015-10-09," 21:11:24",NA,172.8763787,-42.06583896,2.445067638,60.3125
"194",2015-10-09," 14:35:13",NA,173.0774401,-43.1650136,2.323744521,11.09375
"195",2015-10-09," 13:26:51","earthquake",173.0559235,-42.3294487,4.022645338,9.003619194
"196",2015-10-09," 05:20:16",NA,172.2278621,-43.5873031,1.642287265,9.921875
"197",2015-10-08," 10:44:53",NA,172.3799284,-43.59163815,2.057662408,9.921875
"198",2015-10-07," 16:17:19","earthquake",172.5323323,-43.56780781,2.811366459,5.05859375
"199",2015-10-07," 13:25:03",NA,171.79616,-43.9098636,2.508794546,18.59375
