publicid,eventtype,origintime,modificationtime,longitude, latitude, magnitude, depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2015p139531,earthquake,2015-02-21T15:02:26.306Z,2015-02-21T18:39:31.905Z,172.51769250000000966,-43.61351317999999821,2.42155251600000021,11.44531250000000000,M,,NonLinLoc,confirmed,manual,nz3drx,15,12,9,0.13667766440000001,89.00371753000000297,0.33246663560000000,0.00000000000000000
2015p137674,earthquake,2015-02-20T22:32:56.014Z,2015-02-27T03:53:33.309Z,172.71354220000000623,-43.57819156000000049,2.71304564599999987,5.82031250000000000,M,,NonLinLoc,confirmed,manual,nz3drx,18,15,7,0.08982377935999999,92.51042644999999709,0.33625128300000001,0.00000000000000000
2015p135809,,2015-02-20T05:59:31.727Z,2015-02-20T06:01:03.818Z,171.92025760000001355,-43.48876552000000117,1.95058781099999989,7.22656250000000000,M,,NonLinLoc,,automatic,nz3drx,9,9,7,0.18300723260000001,84.85430743000000575,0.19774474550000001,0.00000000000000000
2015p133528,earthquake,2015-02-19T09:44:03.267Z,2015-02-19T09:52:45.616Z,170.24046329999998761,-44.46960830999999814,2.25927982600000021,5.00000000000000000,M,operator assigned,LOCSAT,confirmed,manual,iasp91,16,14,12,0.09314404428000000,72.20787810999999579,0.61900964430000005,0.00000000000000000
2015p133299,earthquake,2015-02-19T07:41:44.980Z,2015-02-19T09:51:00.868Z,173.30676270000000727,-43.87634277000000083,2.40231449000000019,21.41268539000000004,M,,LOCSAT,confirmed,manual,iasp91,16,12,6,0.23553113640000001,259.20314650000000256,0.39990296850000001,0.00000000000000000
2015p133281,earthquake,2015-02-19T07:32:31.608Z,2015-02-19T09:48:35.820Z,173.30526729999999702,-43.94396972999999917,2.52933610899999994,11.29342746999999925,M,,LOCSAT,confirmed,manual,iasp91,14,10,6,0.28068101410000001,301.15457149999997455,0.50068968479999998,0.00000000000000000
2015p132940,,2015-02-19T04:30:50.581Z,2015-02-19T04:33:10.919Z,173.54229860000000940,-42.52501541000000174,2.29212177500000003,26.79687500000000000,M,,NonLinLoc,,automatic,nz3drx,12,12,7,0.10900788450000000,157.31154520000001185,0.49109762309999999,0.00000000000000000
2015p131682,,2015-02-18T17:20:29.871Z,2015-02-18T17:22:57.207Z,171.70645039999999426,-43.07511979000000224,1.84991705400000006,5.11718750000000000,M,,NonLinLoc,,automatic,nz3drx,9,9,6,0.35057055799999998,114.76978549999999757,0.23390974780000001,0.00000000000000000
2015p130961,,2015-02-18T10:56:06.381Z,2015-02-18T10:58:02.258Z,172.15273039999999583,-43.46972971999999658,1.80712866600000011,6.81640625000000000,M,,NonLinLoc,,automatic,nz3drx,11,11,7,0.16699709030000001,71.97358672999999385,0.19505772399999999,0.00000000000000000
2015p128082,,2015-02-17T09:22:33.363Z,2015-02-17T14:17:55.857Z,172.79446160000000532,-43.48951674999999994,2.58984006300000003,10.50781250000000000,M,,NonLinLoc,,automatic,nz3drx,20,20,12,0.24037785819999999,103.85703709999999944,0.32590207739999999,0.00000000000000000
